iter	Passed	Remaining
0	138	138587
1	139	69579
2	140	46556
3	140	35049
4	141	28155
5	142	23548
6	142	20267
7	143	17798
8	144	15875
9	144	14340
10	145	13086
11	146	12040
12	146	11152
13	147	10391
14	148	9730
15	148	9152
16	149	8644
17	150	8190
18	150	7784
19	151	7418
20	152	7089
21	152	6794
22	153	6529
23	154	6280
24	155	6049
25	155	5836
26	156	5637
27	157	5452
28	157	5280
29	158	5120
30	159	4970
31	159	4829
32	160	4697
33	161	4576
34	161	4458
35	162	4346
36	162	4241
37	163	4142
38	164	4047
39	164	3957
40	165	3872
41	166	3791
42	166	3714
43	167	3639
44	168	3568
45	168	3500
46	169	3435
47	170	3372
48	170	3313
49	171	3255
50	172	3200
51	172	3147
52	173	3095
53	173	3046
54	174	2999
55	175	2953
56	176	2914
57	176	2871
58	177	2830
59	178	2792
60	178	2753
61	179	2716
62	180	2679
63	180	2644
64	181	2610
65	182	2577
66	182	2544
67	183	2508
68	183	2478
69	184	2449
70	185	2420
71	185	2392
72	186	2365
73	186	2338
74	187	2312
75	188	2287
76	188	2263
77	189	2239
78	190	2215
79	190	2195
80	191	2173
81	192	2151
82	192	2130
83	193	2109
84	193	2087
85	194	2067
86	194	2046
87	195	2028
88	196	2010
89	197	1992
90	197	1975
91	198	1958
92	199	1941
93	199	1925
94	200	1909
95	201	1893
96	201	1877
97	202	1861
98	202	1846
99	203	1831
100	204	1817
101	204	1800
102	205	1786
103	205	1773
104	206	1760
105	207	1746
106	207	1733
107	208	1721
108	209	1708
109	209	1696
110	210	1684
111	210	1672
112	211	1660
113	212	1649
114	212	1637
115	213	1625
116	213	1614
117	214	1604
118	215	1592
119	215	1582
120	216	1571
121	217	1561
122	217	1549
123	217	1540
124	218	1530
125	219	1520
126	219	1511
127	220	1500
128	220	1491
129	221	1482
130	222	1473
131	222	1465
132	223	1456
133	224	1447
134	224	1439
135	225	1431
136	225	1423
137	226	1414
138	227	1406
139	227	1399
140	228	1391
141	229	1383
142	229	1376
143	230	1368
144	230	1361
145	231	1354
146	232	1346
147	232	1339
148	233	1332
149	233	1325
150	234	1319
151	235	1312
152	235	1305
153	236	1299
154	237	1292
155	237	1286
156	238	1280
157	239	1273
158	239	1268
159	240	1262
160	241	1256
161	241	1250
162	242	1244
163	243	1239
164	243	1233
165	244	1227
166	245	1222
167	245	1216
168	246	1211
169	246	1205
170	247	1200
171	248	1194
172	248	1189
173	249	1184
174	250	1179
175	250	1174
176	251	1169
177	252	1164
178	252	1159
179	253	1154
180	253	1148
181	254	1143
182	255	1138
183	255	1134
184	256	1129
185	257	1124
186	257	1120
187	258	1115
188	258	1110
189	259	1106
190	260	1101
191	260	1097
192	261	1093
193	262	1088
194	262	1084
195	263	1079
196	263	1075
197	264	1071
198	265	1067
199	265	1063
200	266	1059
201	267	1055
202	267	1051
203	268	1047
204	269	1043
205	269	1039
206	270	1035
207	270	1031
208	271	1027
209	272	1023
210	272	1019
211	273	1016
212	274	1012
213	274	1008
214	275	1005
215	275	1001
216	276	997
217	277	994
218	277	990
219	278	987
220	279	983
221	279	979
222	280	976
223	280	972
224	281	969
225	282	966
226	282	962
227	283	959
228	284	956
229	284	952
230	285	949
231	285	946
232	286	943
233	287	939
234	287	936
235	288	933
236	288	930
237	289	927
238	290	924
239	290	920
240	291	917
241	292	914
242	292	911
243	293	908
244	293	905
245	294	903
246	295	900
247	295	897
248	296	894
249	297	891
250	297	888
251	298	885
252	299	883
253	299	880
254	300	877
255	300	874
256	301	871
257	302	869
258	302	866
259	303	863
260	304	860
261	304	858
262	305	855
263	305	852
264	306	850
265	307	847
266	307	844
267	308	842
268	309	839
269	309	837
270	310	834
271	310	832
272	311	829
273	312	826
274	312	824
275	313	822
276	314	819
277	314	817
278	315	814
279	315	812
280	316	810
281	317	807
282	317	805
283	318	802
284	319	800
285	319	797
286	320	795
287	320	793
288	321	790
289	322	788
290	322	786
291	323	784
292	324	781
293	324	779
294	325	777
295	325	775
296	326	772
297	327	770
298	327	768
299	328	766
300	329	764
301	329	762
302	330	760
303	331	757
304	331	755
305	332	753
306	332	751
307	333	749
308	334	747
309	334	745
310	335	743
311	336	741
312	336	739
313	337	737
314	338	735
315	338	733
316	339	731
317	339	729
318	340	727
319	341	725
320	341	722
321	342	721
322	343	719
323	343	717
324	344	715
325	344	713
